rating,parent_asin,timestamp,review,category
5,B01BRVADG6,2019-02-07 22:41:27.737,One of my favorite oils. This oil is wonderful. Nice light scent. Faint pineapple almost. I add a little to my lotion & apply or massage into tired muscles. Makes shaved legs feel wonderful & works great for dry winter skin. Lasts a long time.,All_Beauty
5,B01BRVADG6,2017-06-04 13:07:28.000,Five Stars. I love the oils! My skin is so much smoother!,All_Beauty
5,B01BRVADG6,2019-10-16 15:50:59.484,best massage oil. I have now used this product for 3 years...it is awesome....!!,All_Beauty
5,B01BRVADG6,2017-08-09 11:35:37.781,Five Stars. 2 or 3 time buying I love this oil,All_Beauty
5,B01BRVADG6,2017-01-31 12:32:56.000,Five Stars. Awesome,All_Beauty
5,B01BRVADG6,2019-07-06 03:32:39.106,"BEST scalp and hair oil for thick natural curly hair! Love this oil for our families hair and scalp! Keeps us super soft, shiny and moisturized, not to mention it smells amazing!",All_Beauty
5,B01BRVADG6,2018-12-05 13:35:53.044,Long lasting. This is deeply moisturizing,All_Beauty
5,B01BRVADG6,2017-01-03 08:10:49.000,Five Stars. Great product,All_Beauty
5,B01BRVADG6,2017-01-26 11:08:31.000,Makes my hair and skin very soft. Love this oil. I mix it with cocoa butter lotion to use in the shower. Makes my 50+ year old skin very soft. I also comb it through my blonde colored baby fine hair weekly then wash it out.,All_Beauty
5,B01BRVADG6,2018-11-04 16:17:31.948,Skin Saver. Great skin moisturizer and condition!,All_Beauty
5,B01BRVADG6,2022-01-10 20:39:15.179,Great Product would buy again. Thanks a mill I've received the item in great condition & works great.  Thanks,All_Beauty
5,B01BRVADG6,2017-12-11 17:06:12.317,Five Stars. this is terrific...,All_Beauty
5,B01BRVADG6,2019-10-27 21:13:55.800,"Very versatile oil. Love this oil, great for skin, hair.  Doesn't break out face.",All_Beauty
5,B01BRVADG6,2018-08-13 05:43:29.849,Five Stars. Great on my thick wavy hair,All_Beauty
5,B01BRVADG6,2017-12-19 22:46:41.451,great product - great seller. Great product - fast delivery...,All_Beauty
5,B01BRVADG6,2019-07-10 20:19:09.942,"Bring 7 wonders lotion back ! I have been using seven wonders lotion for 20+ years, love it ! Couldn’t find any to buy :(<br />So I purchased the oil. I’ve mixed it with my Doterra lotion 1/3 oil 2/3 lotion and am very pleased with how it turned out.",All_Beauty
5,B01BRVADG6,2018-12-27 01:34:12.482,The best. This is the best massage oil. The scent is light and doesn't linger. Just smells clean. Feels great.,All_Beauty
